frame_number,segment_id,segment_label,tracking_source,detected,confidence,x_raw,y_raw,x_smooth,y_smooth,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_area,aspect_ratio,anchor_type,boundary_id,boundary_cue,is_boundary,motion_start_frame
1,1,Segment_1,yolo_detection,True,0.8409759998321533,253.655029296875,176.3093719482422,253.655029296875,176.3093719482422,39,47,467,304,428.0,257.0,109996.0,1.6653696498054475,center,,none,False,1
2,1,Segment_1,yolo_detection,True,0.8342074155807495,254.40020751953125,188.79087829589844,254.40020751953125,188.79087829589844,44,84,463,293,419.0,209.0,87571.0,2.0047846889952154,center,,none,False,1
3,1,Segment_1,yolo_detection,True,0.7895779609680176,255.31834411621094,187.2783966064453,255.3182373046875,187.27835083007812,46,85,463,288,417.0,203.0,84651.0,2.0541871921182264,center,,none,False,1
4,1,Segment_1,yolo_detection,True,0.8469052314758301,253.80653381347656,177.2332305908203,253.8064422607422,177.23318481445312,39,49,468,305,429.0,256.0,109824.0,1.67578125,center,,none,False,1
5,1,Segment_1,yolo_detection,True,0.8416836261749268,252.64955139160156,177.9586639404297,252.5543975830078,175.2845001220703,37,50,467,305,430.0,255.0,109650.0,1.6862745098039216,center,,none,False,1
6,1,Segment_1,yolo_detection,True,0.7908440828323364,253.71864318847656,177.72607421875,253.26614379882812,177.4119415283203,40,51,467,303,427.0,252.0,107604.0,1.6944444444444444,center,,none,False,1
7,1,Segment_1,yolo_detection,True,0.8245854377746582,253.15118408203125,172.26702880859375,252.91673278808594,171.3067626953125,38,39,468,304,430.0,265.0,113950.0,1.6226415094339623,center,,none,False,1
8,1,Segment_1,yolo_detection,True,0.8233358263969421,254.64837646484375,178.2889404296875,254.280517578125,176.8884735107422,43,61,466,294,423.0,233.0,98559.0,1.815450643776824,center,,none,False,1
9,1,Segment_1,yolo_detection,True,0.8146176338195801,254.3171844482422,171.91912841796875,254.27687072753906,171.88743591308594,37,39,470,304,433.0,265.0,114745.0,1.6339622641509435,center,,none,False,1
10,1,Segment_1,hold_position,False,0.0,254.3171844482422,171.91912841796875,254.67591857910156,172.9874725341797,37,39,470,304,433.0,265.0,114745.0,1.6339622641509435,center,,none,False,1
11,1,Segment_1,hold_position,False,0.0,254.3171844482422,171.91912841796875,254.5122833251953,170.50326538085938,37,39,470,304,433.0,265.0,114745.0,1.6339622641509435,center,,none,False,1
12,1,Segment_1,hold_position,False,0.0,254.3171844482422,171.91912841796875,254.70651245117188,172.4771728515625,37,39,470,304,433.0,265.0,114745.0,1.6339622641509435,center,,none,False,1
13,1,Segment_1,hold_position,False,0.0,254.3171844482422,171.91912841796875,254.70645141601562,172.36407470703125,37,39,470,304,433.0,265.0,114745.0,1.6339622641509435,center,,none,False,1
14,1,Segment_1,yolo_detection,True,0.57545405626297,459.822509765625,161.8994598388672,373.6317443847656,165.7421875,269,36,639,286,370.0,250.0,92500.0,1.48,center,,none,False,1
15,1,Segment_1,yolo_detection,True,0.9250056743621826,457.7957763671875,148.65452575683594,449.8438720703125,154.7836151123047,264,0,639,310,375.0,310.0,116250.0,1.2096774193548387,center,,none,False,1
16,1,Segment_1,hold_position,False,0.0,457.7957763671875,148.65452575683594,492.2587585449219,147.863525390625,264,0,639,310,375.0,310.0,116250.0,1.2096774193548387,center,1,bend_angle_ge_30deg,True,1
17,2,Segment_2,hold_position,False,0.0,457.7957763671875,148.65452575683594,507.6120300292969,144.11215209960938,264,0,639,310,375.0,310.0,116250.0,1.2096774193548387,center,,none,False,1
18,2,Segment_2,hold_position,False,0.0,457.7957763671875,148.65452575683594,503.32855224609375,143.97238159179688,264,0,639,310,375.0,310.0,116250.0,1.2096774193548387,center,,none,False,1
19,2,Segment_2,hold_position,False,0.0,457.7957763671875,148.65452575683594,486.08416748046875,144.28924560546875,264,0,639,310,375.0,310.0,116250.0,1.2096774193548387,center,,none,False,1
20,2,Segment_2,hold_position,False,0.0,457.7957763671875,148.65452575683594,463.2607116699219,146.52183532714844,264,0,639,310,375.0,310.0,116250.0,1.2096774193548387,center,,none,False,1
21,2,Segment_2,lost,False,0.0,nan,nan,nan,nan,,,,,,,,,center,,none,False,1
22,2,Segment_2,lost,False,0.0,nan,nan,nan,nan,,,,,,,,,center,,none,False,1
